OID_,GEOID10,ZONE_CODE,COUNT,AREA,MEAN
1,06067008512,1,4447.000000000000000,4002300.000000000000000,-0.239627881728286
2,06067008509,2,2443.000000000000000,2198700.000000000000000,-0.234855224378788
3,06067008506,3,1233.000000000000000,1109700.000000000000000,-0.224822529093857
4,06067007428,4,1446.000000000000000,1301400.000000000000000,-0.184911266949548
5,06067007107,5,15600.000000000000000,14040000.000000000000000,-0.269057143136278
6,06067007106,6,7169.000000000000000,6452100.000000000000000,-0.216400663160447
7,06067008143,7,2682.000000000000000,2413800.000000000000000,-0.276334718611483
8,06067008208,8,3898.000000000000000,3508200.000000000000000,-0.278922234501320
9,06067007413,9,6330.000000000000000,5697000.000000000000000,-0.249375761022124
10,06067007423,10,1092.000000000000000,982800.000000000000000,-0.168456811847629
11,06067007406,11,5045.000000000000000,4540500.000000000000000,-0.196796583543416
12,06067007403,12,2420.000000000000000,2178000.000000000000000,-0.209797457991791
13,06067007402,13,3186.000000000000000,2867400.000000000000000,-0.205443130987070
14,06067007207,14,9997.000000000000000,8997300.000000000000000,-0.270495456533195
15,06067007102,15,4928.000000000000000,4435200.000000000000000,-0.148565002787381
16,06067007020,16,2884.000000000000000,2595600.000000000000000,-0.185056187765561
17,06067007017,17,8344.000000000000000,7509600.000000000000000,-0.246709713922702
18,06067007016,18,5412.000000000000000,4870800.000000000000000,-0.184436768892493
19,06067007015,19,6544.000000000000000,5889600.000000000000000,-0.178245895757840
20,06067008140,20,1833.000000000000000,1649700.000000000000000,-0.261231877997038
21,06067007415,21,1706.000000000000000,1535400.000000000000000,-0.205286982653778
22,06067005102,22,3440.000000000000000,3096000.000000000000000,-0.185850053386178
23,06067005101,23,2274.000000000000000,2046600.000000000000000,-0.164955870290357
24,06067005002,24,3420.000000000000000,3078000.000000000000000,-0.162334341348873
25,06067005001,25,2605.000000000000000,2344500.000000000000000,-0.170614327144256
26,06067004802,26,1582.000000000000000,1423800.000000000000000,-0.188016343689329
27,06067008128,27,1113.000000000000000,1001700.000000000000000,-0.191965033055048
28,06067008010,28,5788.000000000000000,5209200.000000000000000,-0.276850082165773
29,06067005205,29,9875.000000000000000,8887500.000000000000000,-0.140888980795500
30,06067009638,30,137614.000000000000000,123852600.000000000000000,-0.285262760827954
31,06067009634,31,1318.000000000000000,1186200.000000000000000,-0.196663712213531
32,06067009332,32,8751.000000000000000,7875900.000000000000000,-0.259372259219767
33,06067009201,33,62226.000000000000000,56003400.000000000000000,-0.200075637541966
34,06067007301,34,14208.000000000000000,12787200.000000000000000,-0.146530979351534
35,06067009312,35,2364.000000000000000,2127600.000000000000000,-0.160408993411963
36,06067009317,36,3003.000000000000000,2702700.000000000000000,-0.196948175251861
37,06067009316,37,1431.000000000000000,1287900.000000000000000,-0.162212177318378
38,06067007504,38,3805.000000000000000,3424500.000000000000000,-0.244570055716159
39,06067008009,39,5066.000000000000000,4559400.000000000000000,-0.279454064637872
40,06067008119,40,2647.000000000000000,2382300.000000000000000,-0.216110058437046
41,06067008117,41,1049.000000000000000,944100.000000000000000,-0.188169650404978
42,06067008135,42,1571.000000000000000,1413900.000000000000000,-0.227968092418242
43,06067008133,43,999.000000000000000,899100.000000000000000,-0.196266353876873
44,06067008136,44,1637.000000000000000,1473300.000000000000000,-0.198375213548778
45,06067008129,45,1263.000000000000000,1136700.000000000000000,-0.163909712689099
46,06067009319,46,2585.000000000000000,2326500.000000000000000,-0.182247113402054
47,06067008913,47,4836.000000000000000,4352400.000000000000000,-0.268292371927492
48,06067008403,48,3307.000000000000000,2976300.000000000000000,-0.193408767940466
49,06067008130,49,1897.000000000000000,1707300.000000000000000,-0.191229232908980
50,06067009323,50,4211.000000000000000,3789900.000000000000000,-0.200628709095922
51,06067008209,51,3911.000000000000000,3519900.000000000000000,-0.251970555074387
52,06067009612,52,1685.000000000000000,1516500.000000000000000,-0.186498423796755
53,06067009616,53,2419.000000000000000,2177100.000000000000000,-0.214768539455039
54,06067007501,54,2904.000000000000000,2613600.000000000000000,-0.155112569923346
55,06067008008,55,3366.000000000000000,3029400.000000000000000,-0.244924105540033
56,06067008007,56,2346.000000000000000,2111400.000000000000000,-0.301601792528284
57,06067008006,57,6101.000000000000000,5490900.000000000000000,-0.268792681241499
58,06067008005,58,6891.000000000000000,6201900.000000000000000,-0.231830765242655
59,06067008125,59,2844.000000000000000,2559600.000000000000000,-0.237729536403500
